Lis Penden Filings,,,,,,,,,,,,,By Municipality
January to December 2016,,,,,,,,,,,,,
Watertown,72,9,8,5,5,5,6,2,5,4,13,1,9
West Hartford,107,8,13,6,3,15,6,13,13,8,10,7,5
West Haven,330,28,44,31,33,32,22,28,21,28,26,18,19
Westbrook,22,2,3,1,1,2,0,2,4,1,4,1,1
Weston,33,1,3,5,2,2,1,5,3,2,3,3,3
Westport,75,5,8,3,9,4,5,5,8,10,2,4,12
Wethersfield,89,4,10,5,5,12,6,6,8,10,5,8,10
Willington,12,1,2,0,1,1,2,1,0,1,1,1,1
Wilton,41,5,2,3,5,3,1,0,6,3,2,2,9
Winchester,37,4,3,1,5,3,1,2,3,5,2,5,3
Windham,76,9,5,6,3,12,9,4,5,4,8,4,7
Windsor,141,8,12,10,6,13,11,18,14,14,11,15,9
Windsor Locks,51,4,9,2,3,4,6,6,4,2,2,6,3
Wolcott,72,2,14,5,10,3,6,6,3,5,10,4,4
Woodbridge,21,1,3,5,0,1,0,0,5,0,0,2,4
Woodbury,40,1,3,1,3,4,4,3,8,2,5,0,6
Woodstock,21,2,3,2,2,2,3,0,2,3,0,2,0
Totals,"13,380","1,194","1,498",974,"1,125","1,379",982,943,"1,218",917,"1,222",896,"1,032"
""
Foreclosure Deed Filings,,,,,,,,,,,Connecticut
January to December 2016,,,,,,,,,,,Sorted by Municipality
Year-End,,,,,,,,,,,
Municipality,January,February,March,April,May,June,July,August,September,October,November December
2016,,,,,,,,,,,
Andover 1,0,0,1,0,0,0,0,0,0,0,0 0
Ansonia 14,0,0,0,0,0,0,0,0,5,4,2 3
Ashford 2,0,0,0,0,0,0,0,0,0,0,1 1
Avon 8,0,0,0,0,0,0,0,0,2,1,1 4
Barkhamsted 3,0,0,0,0,0,0,0,2,1,0,0 0
Beacon Falls 5,0,2,0,1,0,0,0,0,0,0,1 1
Berlin 6,0,1,0,0,0,0,0,0,0,3,2 0
Bethany 5,0,0,0,0,0,0,2,3,0,0,0 0
Bethel 10,0,0,0,0,0,0,0,0,4,1,1 4
Bethlehem 4,0,1,0,0,0,0,2,1,0,0,0 0
Bloomfield 39,2,7,4,2,3,2,4,4,2,3,4 2
Bolton 2,0,0,0,0,0,0,0,0,0,0,2 0
Bozrah 0,0,0,0,0,0,0,0,0,0,0,0 0
Branford 9,0,0,0,0,0,0,0,0,0,1,3 5
Bridgeport 261,29,20,16,25,22,22,15,34,18,28,17 15
Bridgewater 1,0,0,0,0,0,0,1,0,0,0,0 0
Bristol 55,0,3,0,1,7,1,2,7,6,7,9 12
Brookfield 18,2,1,2,1,3,2,1,2,1,1,1 1
Brooklyn 13,0,1,1,1,1,0,1,3,1,3,0 1
Burlington 3,0,0,0,0,0,0,0,0,1,2,0 0
Canaan 1,0,0,0,0,0,0,0,1,0,0,0 0
Canterbury 14,2,2,2,1,1,0,1,3,2,0,0 0
Canton 5,0,0,0,0,0,0,0,0,1,0,2 2
Chaplin 2,0,0,0,0,0,0,0,0,1,0,1 0
Cheshire 12,1,0,0,0,1,0,0,2,3,0,2 3
Chester 0,0,0,0,0,0,0,0,0,0,0,0 0
Clinton 8,0,0,0,0,0,0,0,0,4,2,1 1
Colchester 10,0,0,0,0,0,0,0,0,3,2,3 2
Colebrook 1,0,0,0,0,0,1,0,0,0,0,0 0
Columbia 14,0,2,1,0,4,0,1,1,2,0,1 2
Cornwall 1,0,0,0,0,0,0,0,0,0,1,0 0
Coventry 13,0,2,0,0,1,1,0,0,2,3,3 1
Cromwell 30,4,4,0,2,1,1,3,5,5,2,1 2
Danbury 58,4,8,1,2,9,4,3,12,3,5,4 3
Darien 5,1,0,1,0,1,1,0,0,0,1,0 0
Deep River 0,0,0,0,0,0,0,0,0,0,0,0 0
Derby 23,1,5,0,0,4,0,0,6,2,5,0 0
Durham 0,0,0,0,0,0,0,0,0,0,0,0 0
East Granby 4,0,0,0,0,0,0,0,0,1,1,1 1
East Haddam 20,2,1,0,0,3,4,0,2,1,5,2 0
East Hampton 1,0,0,0,0,0,0,0,0,0,0,0 1
East Hartford 123,10,10,8,6,7,13,14,13,8,11,14 9
East Haven 79,5,9,7,8,6,4,4,10,4,9,9 4
East Lyme 6,0,0,0,0,0,0,0,1,1,3,0 1
East Windsor 12,1,1,1,2,1,2,0,0,1,1,2 0
Eastford 2,0,0,0,0,0,0,0,0,2,0,0 0
Easton 2,0,0,0,0,0,0,0,0,0,1,1 0
Ellington 4,0,0,0,0,0,0,0,0,0,3,0 1
Enfield 72,4,10,5,9,5,5,3,9,6,7,2 7
"",,,,,,,,,,,Winter 2017
Foreclosure Deed Filings,,,,,,,,,,,Connecticut
January to December 2016,,,,,,,,,,,Sorted by Municipality
Year-End,,,,,,,,,,,
Municipality,January,February,March,April,May,June,July,August,September,October,November December
2016,,,,,,,,,,,
Essex 4,0,0,0,0,0,0,0,0,2,1,1 0
Fairfield 7,1,0,0,1,2,2,0,0,0,0,0 1
Farmington 4,0,0,0,0,0,0,0,0,0,0,2 2
Franklin 2,1,0,0,0,0,0,0,1,0,0,0 0
Glastonbury 15,0,2,0,0,1,0,2,2,3,2,2 1
Goshen 1,0,0,0,0,0,0,0,1,0,0,0 0
Granby 4,0,0,0,0,0,0,0,0,2,0,1 1
Greenwich 20,1,5,1,1,1,2,0,2,1,1,3 2
Griswold 13,0,0,0,0,0,0,0,0,4,3,3 3
Groton 14,0,0,0,0,0,0,0,0,2,6,5 1
Guilford 5,0,0,0,0,0,0,0,0,1,1,2 1
Haddam 7,1,1,0,0,1,0,0,1,0,3,0 0
Hamden 79,7,6,2,3,7,10,7,13,12,3,4 5
Hampton 2,0,1,0,1,0,0,0,0,0,0,0 0
Hartford 163,18,25,7,11,16,11,13,14,15,16,9 8
Hartland 1,0,0,0,0,0,0,0,0,0,1,0 0
Harwinton 4,1,1,0,0,0,0,0,0,1,0,0 1
Hebron 17,2,2,0,3,0,1,2,4,3,0,0 0
Kent 0,0,0,0,0,0,0,0,0,0,0,0 0
Killingly 17,2,1,0,1,0,0,0,0,5,3,3 2
Killingworth 2,0,0,0,0,0,0,0,0,0,1,0 1
Lebanon 7,0,0,0,0,0,0,0,0,2,3,2 0
Ledyard 34,3,5,4,0,7,2,0,5,1,4,0 3
Lisbon 6,0,1,0,1,1,0,0,1,0,1,0 1
Litchfield 3,0,0,0,0,0,0,0,1,0,0,2 0
Lyme 0,0,0,0,0,0,0,0,0,0,0,0 0
Madison 18,2,0,3,1,3,4,2,1,0,1,0 1
Manchester 25,0,0,0,0,0,0,0,0,3,8,8 6
Mansfield 0,0,0,0,0,0,0,0,0,0,0,0 0
Marlborough 7,0,0,0,0,0,0,0,0,0,4,2 1
Meriden 195,4,22,9,12,31,20,12,27,10,26,8 14
Middlebury 11,0,0,1,2,2,1,1,1,1,1,1 0
Middlefield 7,0,0,0,0,0,1,1,0,1,1,2 1
Middletown 11,0,0,0,0,0,0,0,0,1,3,1 6
Milford 17,0,0,0,0,0,0,0,0,1,4,5 7
Monroe 20,4,3,0,1,2,0,2,3,2,1,1 1
Montville 8,0,0,0,0,0,0,0,0,1,3,3 1
Morris 1,0,0,0,0,0,0,0,0,1,0,0 0
Naugatuck 84,6,11,7,9,6,5,12,7,6,6,3 6
New Britain 31,0,0,0,0,0,0,0,0,9,9,9 4
New Canaan 7,0,2,0,0,1,0,0,0,1,1,0 2
New Fairfield 19,5,1,1,1,2,1,2,4,0,0,2 0
New Hartford 3,0,0,0,0,0,0,0,0,2,0,0 1
New Haven 49,3,5,3,1,6,3,1,8,4,6,3 6
New London 53,9,7,1,0,7,6,2,4,3,4,3 7
New Milford 10,0,0,0,0,0,0,0,0,2,1,4 3
Newington 12,0,0,0,0,0,0,3,0,3,5,0 1
Newtown 9,0,0,0,0,0,0,0,0,2,2,1 4
Norfolk 5,0,0,0,0,0,1,1,0,0,1,1 1
"",,,,,,,,,,,Winter 2017
Foreclosure Deed Filings,,,,,,,,,,,Connecticut
January to December 2016,,,,,,,,,,,Sorted by Municipality
Year-End,,,,,,,,,,,
Municipality,January,February,March,April,May,June,July,August,September,October,November December
2016,,,,,,,,,,,
North Branford 6,0,0,0,0,0,0,0,0,1,1,1 3
North Canaan 4,0,0,0,0,0,2,0,1,0,0,0 1
North Haven 24,2,4,2,3,1,4,3,1,1,2,0 1
North Stonington 7,0,1,2,0,3,0,0,1,0,0,0 0
Norwalk 76,6,9,2,6,9,5,8,8,4,8,4 7
Norwich 39,0,0,0,0,0,0,0,0,9,17,9 4
Old Lyme 1,1,0,0,0,0,0,0,0,0,0,0 0
Old Saybrook 5,1,0,0,0,1,1,0,0,2,0,0 0
Orange 4,0,0,0,0,0,0,0,0,2,1,0 1
Oxford 3,0,0,0,0,0,0,0,0,0,1,2 0
Plainfield 24,3,2,1,2,1,1,1,0,6,4,0 3
Plainville 8,0,0,0,0,0,0,0,0,3,2,1 2
Plymouth 21,0,0,0,0,0,1,5,2,7,4,0 2
Pomfret 8,3,1,0,0,1,0,0,0,0,2,0 1
Portland 7,1,0,0,0,0,2,2,1,0,1,0 0
Preston 10,3,2,0,0,0,1,0,1,0,1,0 2
Prospect 9,2,3,0,0,0,0,1,0,0,0,0 3
Putnam 23,1,3,0,3,1,2,3,3,1,2,2 2
Redding 5,0,0,0,0,0,0,0,0,0,1,1 3
Ridgefield 9,1,2,1,0,0,0,0,0,0,3,2 0
Rocky Hill 6,0,0,0,0,0,0,0,0,3,1,1 1
Roxbury 1,0,0,0,0,0,0,0,0,0,0,0 1
Salem 1,0,0,0,0,0,0,0,0,0,1,0 0
Salisbury 2,0,0,0,0,0,0,0,1,0,0,0 1
Scotland 4,0,1,0,0,1,0,0,0,1,0,1 0
Seymour 29,3,11,1,0,5,1,1,1,2,1,3 0
Sharon 3,0,0,0,1,1,0,0,0,0,0,0 1
Shelton 35,6,4,3,1,5,2,0,2,2,6,3 1
Sherman 2,0,0,0,0,1,1,0,0,0,0,0 0
Simsbury 7,1,0,1,0,1,1,1,0,0,1,1 0
Somers 2,0,0,0,0,0,0,0,0,1,0,1 0
South Windsor 7,0,0,0,0,0,1,0,0,1,1,2 2
Southbury 34,0,1,4,3,6,4,0,5,0,2,3 6
Southington 12,0,0,0,0,0,0,0,0,2,3,3 4
Sprague 3,0,0,2,0,0,0,0,0,0,1,0 0
Stafford 6,0,0,0,0,0,0,0,0,1,4,0 1
Stamford 15,0,0,0,0,0,0,0,0,3,9,3 0
Sterling 8,2,0,0,1,0,2,0,1,1,0,0 1
Stonington 3,0,0,0,0,0,0,0,0,1,2,0 0
Stratford 20,0,0,0,0,0,0,0,0,5,3,4 8
Suffield 5,0,0,0,0,0,0,0,0,0,1,1 3
Thomaston 7,0,0,0,0,0,0,0,0,2,3,1 1
Thompson 12,3,2,2,1,1,1,0,0,0,1,1 0
Tolland 11,0,0,0,1,1,1,1,4,1,2,0 0
Torrington 33,1,2,3,1,1,2,1,1,6,3,9 3
Trumbull 23,2,1,1,2,2,1,1,5,4,1,2 1
Union 0,0,0,0,0,0,0,0,0,0,0,0 0
Vernon 62,4,6,4,5,7,3,6,8,6,6,5 2
Voluntown 6,0,0,2,1,0,1,0,0,0,1,0 1
"",,,,,,,,,,,Winter 2017
Foreclosure Deed Filings,,,,,,,,,,,Connecticut
January to December 2016,,,,,,,,,,,Sorted by Municipality
Year-End,,,,,,,,,,,
Municipality,January,February,March,April,May,June,July,August,September,October,November December
2016,,,,,,,,,,,
Wallingford 48,0,2,5,2,4,8,4,4,4,4,7 4
Warren 3,0,1,0,0,0,1,1,0,0,0,0 0
Washington 7,1,1,0,0,1,0,0,1,0,2,1 0
Waterbury 65,5,4,2,3,3,3,7,9,3,9,14 3
Waterford 26,4,4,1,0,4,3,2,1,1,3,2 1
Watertown 53,5,4,3,3,8,6,9,3,3,3,3 3
West Hartford 21,0,0,0,3,5,4,0,0,2,2,1 4
West Haven 48,1,2,4,0,0,0,1,4,10,13,4 9
Westbrook 0,0,0,0,0,0,0,0,0,0,0,0 0
Weston 10,0,1,2,1,1,1,0,0,0,4,0 0
Westport 2,0,0,0,0,0,0,0,0,0,2,0 0
Wethersfield 21,1,3,0,0,2,4,2,5,1,1,2 0
Willington 4,0,0,0,0,0,0,0,0,1,1,1 1
Wilton 14,2,3,2,1,1,0,1,1,2,0,0 1
Winchester 6,0,0,0,0,0,0,0,0,0,1,3 2
Windham 17,1,2,1,0,4,0,0,1,1,4,3 0
Windsor 22,0,1,1,1,2,4,4,1,1,3,2 2
Windsor Locks 8,0,0,0,0,0,0,0,0,3,3,1 1
Wolcott 9,0,0,0,0,0,0,0,0,3,2,2 2
Woodbridge 5,0,1,0,0,0,0,0,3,0,1,0 0
Woodbury 8,0,0,0,0,0,0,0,0,0,2,1 5
Woodstock 6,1,0,0,0,1,0,0,0,1,0,0 3
"Total 3,069",205,275,141,155,261,207,185,300,314,415,302 309
Windham,154,18,16,7,11,12,6,6,11,22,19,12,14
Totals,"3,069",205,275,141,155,261,207,185,300,314,415,302,309
